feature,importance
num_failed_logins,0.16414650589220445
protocol_type_tcp,0.14915364993386304
duration,0.10698457231113115
flag_S0,0.08675672605769105
same_srv_rate,0.06528832612829616
protocol_type_udp,0.055117487931519195
flag_RSTR,0.05500094131807246
num_compromised,0.04285398565418033
logged_in,0.03258405276286105
rerror_rate,0.03212299748240022
service_http,0.027839124130397772
srv_count,0.026974954167400558
srv_serror_rate,0.023280685696765568
src_bytes,0.022154808766418517
service_ssh,0.02047323879852048
wrong_fragment,0.015782478376598665
count,0.014617495253827082
urgent,0.012511362470217191
service_smtp,0.012275627111461672
flag_SF,0.007704679574220813
service_ftp,0.006736137124114306
serror_rate,0.0060498176404198915
dst_bytes,0.005445596449022872
hot,0.004219859223649613
diff_srv_rate,0.003924889744745743
